Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
NMFC 051080-05 Faucets; Bibcocks; 70 5848 37.09,NMFC 051080-05 Faucets; Bibcocks; 70 5848 37.09,1,2169.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 365 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 365 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 571 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 571 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 520 42.10,NMFC 051080-05 Faucets; Bibcocks; 70 520 42.10,1,218.92,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 660 56.83,NMFC 051080-05 Faucets; Bibcocks; 70 660 56.83,1,375.08,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 369 33.43,NMFC 051080-05 Faucets; Bibcocks; 70 369 33.43,1,123.36,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 515 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 515 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 299 52.84,NMFC 051080-05 Faucets; Bibcocks; 70 299 52.84,1,157.99,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 377 32.51,NMFC 051080-05 Faucets; Bibcocks; 70 377 32.51,1,122.56,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 505 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 505 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 305 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 305 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 295 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 295 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 670 39.78,NMFC 051080-05 Faucets; Bibcocks; 70 670 39.78,1,266.53,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 2916 18.02,NMFC 051080-05 Faucets; Bibcocks; 70 2916 18.02,1,525.46,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 715 28.49,NMFC 051080-05 Faucets; Bibcocks; 70 715 28.49,1,203.7,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 1000 16.79,NMFC 051080-05 Faucets; Bibcocks; 70 1000 16.79,1,167.9,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 250 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 250 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 555 21.82 Faucets; Bibcocks;,NMFC 051080-05 70 555 21.82 Faucets; Bibcocks;,1,121.1,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 400 52.61 Faucets, Bibcocks,","NMFC 051080-05 70 400 52.61 Faucets, Bibcocks,",1,210.44,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 402 MIN Faucets; Bibcocks;,NMFC 051080-05 70 402 MIN Faucets; Bibcocks;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 427 42.10 Faucets; Bibcocks;,NMFC 051080-05 70 427 42.10 Faucets; Bibcocks;,1,179.77,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 470 27.63 Faucets; Bibcocks; ...,NMFC 051080-05 70 470 27.63 Faucets; Bibcocks; ...,1,129.86,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 510 28.47 Faucets; Bibcocks;,NMFC 051080-05 70 510 28.47 Faucets; Bibcocks;,1,145.2,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 520 MIN Faucets; Bibcocks;,NMFC 051080-05 70 520 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 5413 31.77 Faucets; Bibcocks; ...,NMFC 051080-05 70 5413 31.77 Faucets; Bibcocks; ...,1,1719.71,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 560 34.07 Faucets; Bibcocks;,NMFC 051080-05 70 560 34.07 Faucets; Bibcocks;,1,190.79,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 362 48.98 Faucets; Bibcocks; ...,NMFC 051080-05 70 362 48.98 Faucets; Bibcocks; ...,1,177.31,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 580 24.73 Faucets; Bibcocks; ...,NMFC 051080-05 70 580 24.73 Faucets; Bibcocks; ...,1,143.43,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 669 MIN Faucets; Bibcocks;,NMFC 051080-05 70 669 MIN Faucets; Bibcocks;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 670 46.40 Faucets; Bibcocks;,NMFC 051080-05 70 670 46.40 Faucets; Bibcocks;,1,310.88,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 724 30.39 Faucets; Bibcocks;,NMFC 051080-05 70 724 30.39 Faucets; Bibcocks;,1,220.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 745 43.06 Faucets; Bibcocks;,NMFC 051080-05 70 745 43.06 Faucets; Bibcocks;,1,320.8,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 784 19.80 Faucets; Bibcocks; ...,NMFC 051080-05 70 784 19.80 Faucets; Bibcocks; ...,1,155.23,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 793 53.98 Faucets; Bibcocks;,NMFC 051080-05 70 793 53.98 Faucets; Bibcocks;,1,428.06,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 385 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 385 MIN Faucets; Bibcocks; ...,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 345 46.82 Faucets; Bibcocks;,NMFC 051080-05 70 345 46.82 Faucets; Bibcocks;,1,161.53,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 880 35.16 Faucets; Bibcocks;,NMFC 051080-05 70 880 35.16 Faucets; Bibcocks;,1,309.41,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 255 MIN Faucets; Bibcocks;,NMFC 051080-05 70 255 MIN Faucets; Bibcocks;,1,118.25,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 205 MIN Faucets, Bibcocks, ...","NMFC 051080-05 70 205 MIN Faucets, Bibcocks, ...",1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 205 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 205 MIN Faucets; Bibcocks; ...,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 213 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 213 MIN Faucets; Bibcocks; ...,1,173.02,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 217 MIN Faucets, Bibcocks,","NMFC 051080-05 70 217 MIN Faucets, Bibcocks,",1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 236 MIN Faucets; Bibcocks;,NMFC 051080-05 70 236 MIN Faucets; Bibcocks;,1,142.94,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 245 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 245 MIN Faucets; Bibcocks; ...,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 250 MIN Faucets; Bibcocks; ...,NMFC 051080-05 70 250 MIN Faucets; Bibcocks; ...,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 269 MIN Faucets; Bibcocks;,NMFC 051080-05 70 269 MIN Faucets; Bibcocks;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 3408 40.03 Faucets; Bibcocks; ...,NMFC 051080-05 70 3408 40.03 Faucets; Bibcocks; ...,1,1364.22,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 301 MIN Faucets; Bibcocks;,NMFC 051080-05 70 301 MIN Faucets; Bibcocks;,1,118.25,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 315 MIN Faucets, Bibcocks,","NMFC 051080-05 70 315 MIN Faucets, Bibcocks,",1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 315 MIN Faucets; Bibcocks;,NMFC 051080-05 70 315 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 320 MIN Faucets; Bibcocks;,NMFC 051080-05 70 320 MIN Faucets; Bibcocks;,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 3247 40.03 Faucets; Bibcocks;,NMFC 051080-05 70 3247 40.03 Faucets; Bibcocks;,1,1299.77,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 327 MIN Faucets; Bibcocks;,NMFC 051080-05 70 327 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 340 MIN Faucets; Bibcocks;,NMFC 051080-05 70 340 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 86 MIN Faucets; Bibcocks;,NMFC 051080-05 70 86 MIN Faucets; Bibcocks;,1,142.94,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 90 MIN Faucets, Bibcocks,","NMFC 051080-05 70 90 MIN Faucets, Bibcocks,",1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 245 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 245 MIN,1,254.09,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 191 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 191 MIN,1,142.94,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 115 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 115 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 125 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 125 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 128 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 128 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 129 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 129 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 1452 19.68,NMFC 051080-05 Faucets; Bibcocks; 70 1452 19.68,1,285.75,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 150 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 150 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 151 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 151 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 1935 17.60,NMFC 051080-05 Faucets; Bibcocks; 70 1935 17.60,1,340.56,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 110 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 110 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 195 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 195 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 205 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 205 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 210 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 210 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 225 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 225 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 229 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 229 MIN,1,142.94,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 235 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 235 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 240 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 240 MIN,1,254.09,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 114 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 114 MIN,1,118.25,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 1070 16.30,NMFC 051080-05 Faucets; Bibcocks; 70 1070 16.30,1,174.41,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 70 90 MIN Faucets, Bibcocks, ...","NMFC 051080-05 70 90 MIN Faucets, Bibcocks, ...",1,173.02,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 230 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 230 MIN",1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 945 24.79 Faucets; Bibcocks; ...,NMFC 051080-05 70 945 24.79 Faucets; Bibcocks; ...,1,234.27,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 95 MIN Faucets; Bibcocks;,NMFC 051080-05 70 95 MIN Faucets; Bibcocks;,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 960 50.72 Faucets; Bibcocks; ...,NMFC 051080-05 70 960 50.72 Faucets; Bibcocks; ...,1,486.91,Other / Uncategorized,Unclassified,none
NMFC 051080-05 70 968 19.00 Faucets; Bibcocks;,NMFC 051080-05 70 968 19.00 Faucets; Bibcocks;,1,183.92,Other / Uncategorized,Unclassified,none
NMFC 051080-05 85 120 MIN Faucets; Bibcocks;,NMFC 051080-05 85 120 MIN Faucets; Bibcocks;,1,158.29,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 175 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 175 MIN",1,118.25,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 180 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 180 MIN",1,118.25,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 235 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 235 MIN",1,254.09,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 1025 21.87,NMFC 051080-05 Faucets; Bibcocks; 70 1025 21.87,1,224.17,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 255 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 255 MIN",1,158.29,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 265 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 265 MIN",1,173.02,Other / Uncategorized,Unclassified,none
"NMFC 051080-05 Faucets, Bibcocks, 70 90 MIN","NMFC 051080-05 Faucets, Bibcocks, 70 90 MIN",1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; ... 70 105 MIN,NMFC 051080-05 Faucets; Bibcocks; ... 70 105 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; ... 70 282 MIN,NMFC 051080-05 Faucets; Bibcocks; ... 70 282 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 76 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 76 MIN,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 1005 18.94,NMFC 051080-05 Faucets; Bibcocks; 70 1005 18.94,1,190.35,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 735 23.89,NMFC 051080-05 Faucets; Bibcocks; 70 735 23.89,1,175.59,Other / Uncategorized,Unclassified,none
NON-CONVEYABLE PIECE - IRREGULAR,NON-CONVEYABLE PIECE - IRREGULAR,1,20.0,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 80 MIN,NMFC 051080-05 Faucets; Bibcocks; 70 80 MIN,1,118.25,Other / Uncategorized,Unclassified,none
REUSABLE WOODEN CRATES 125 250 MIN,REUSABLE WOODEN CRATES 125 250 MIN,1,158.29,Other / Uncategorized,Unclassified,none
REWEIGH FEE,REWEIGH FEE,1,40.0,Other / Uncategorized,Unclassified,none
REWEIGH OR RECLASSIFY 850,REWEIGH OR RECLASSIFY 850,1,39.0,Other / Uncategorized,Unclassified,none
ROUGH IRON CASTINGS NOIBN 50 13505 7.44,ROUGH IRON CASTINGS NOIBN 50 13505 7.44,1,1004.77,Other / Uncategorized,Unclassified,none
Reclass,Reclass,1,93.29,Other / Uncategorized,Unclassified,none
Retourzendingen Extra Tariefposten,Retourzendingen Extra Tariefposten,1,44.0,Other / Uncategorized,Unclassified,none
Reweigh,Reweigh,1,76.47,Other / Uncategorized,Unclassified,none
Reweigh to 5000lbs ,Reweigh to 5000lbs ,1,331.8,Other / Uncategorized,Unclassified,none
Rolls,Rolls,1,900.0,Other / Uncategorized,Unclassified,none
SEALED AIR CORP PRODUCT 60 2323 9.97,SEALED AIR CORP PRODUCT 60 2323 9.97,1,231.6,Other / Uncategorized,Unclassified,none
SKD MEDICAL DEVICES CLASS 175.0 48.0 X 40.0 X 43.0 271 81785,SKD MEDICAL DEVICES CLASS 175.0 48.0 X 40.0 X 43.0 271 81785,1,2216.37,Other / Uncategorized,Unclassified,none
SPRINTER VAN,SPRINTER VAN,1,400.0,Other / Uncategorized,Unclassified,none
STAINLESS SHAFTS 150 324 MIN,STAINLESS SHAFTS 150 324 MIN,1,118.25,Other / Uncategorized,Unclassified,none
STAMPED PTS 70 2000 16.18,STAMPED PTS 70 2000 16.18,1,323.6,Other / Uncategorized,Unclassified,none
STC 1 PC 65 1255 34.41,STC 1 PC 65 1255 34.41,1,431.85,Other / Uncategorized,Unclassified,none
STC 13 BXS 70 255 MIN,STC 13 BXS 70 255 MIN,1,173.02,Other / Uncategorized,Unclassified,none
STC 16BX 70 324 MIN,STC 16BX 70 324 MIN,1,173.02,Other / Uncategorized,Unclassified,none
STC 18BX 70 359 MIN,STC 18BX 70 359 MIN,1,173.02,Other / Uncategorized,Unclassified,none
REUSABLE WOODEN CRATES 70 750 30.74,REUSABLE WOODEN CRATES 70 750 30.74,1,230.55,Other / Uncategorized,Unclassified,none
REUSABLE CRATES 70 400 24.73,REUSABLE CRATES 70 400 24.73,1,98.92,Other / Uncategorized,Unclassified,none
NMFC 051080-05 Faucets; Bibcocks; 70 820 55.98,NMFC 051080-05 Faucets; Bibcocks; 70 820 55.98,1,459.04,Other / Uncategorized,Unclassified,none
REUSABLE BOXES 70 90 MIN,REUSABLE BOXES 70 90 MIN,1,158.29,Other / Uncategorized,Unclassified,none
PROCOMER FEE (FACTURA CONSOLIDADA DUAS LOCALES),PROCOMER FEE (FACTURA CONSOLIDADA DUAS LOCALES),1,51.0,Other / Uncategorized,Unclassified,none
Pallet 1/1 US/CA uses only 085 545 84447,Pallet 1/1 US/CA uses only 085 545 84447,1,4602.36,Other / Uncategorized,Unclassified,none
Pallet 1/1 US/CA uses only 100 381 55025,Pallet 1/1 US/CA uses only 100 381 55025,1,2096.45,Other / Uncategorized,Unclassified,none
Pallet Palstic Articles Density,Pallet Palstic Articles Density,1,134.0,Other / Uncategorized,Unclassified,none
Paper Goods or Articles; viz. 085 455 40832,Paper Goods or Articles; viz. 085 455 40832,1,1857.86,Other / Uncategorized,Unclassified,none
Paper Goods or Articles; viz. 092 1510 29055,Paper Goods or Articles; viz. 092 1510 29055,1,4387.31,Other / Uncategorized,Unclassified,none
Parking,Parking,1,2.0,Other / Uncategorized,Unclassified,none
Per invoice pay $281.20,Per invoice pay $281.20,1,281.2,Other / Uncategorized,Unclassified,none
Pre Release Notification,Pre Release Notification,1,25.0,Other / Uncategorized,Unclassified,none
RAW CASTINGS 50 330 MIN,RAW CASTINGS 50 330 MIN,1,118.25,Other / Uncategorized,Unclassified,none
RAW CASTINGS 50 332 MIN,RAW CASTINGS 50 332 MIN,1,118.25,Other / Uncategorized,Unclassified,none
RAW CASTINGS 60 373 MIN,RAW CASTINGS 60 373 MIN,1,118.25,Other / Uncategorized,Unclassified,none
RECH RECOVER AND HOLD,RECH RECOVER AND HOLD,1,50.0,Other / Uncategorized,Unclassified,none
RECONSIGNMENT,RECONSIGNMENT,1,1228.41,Other / Uncategorized,Unclassified,none
REMOTE TABLE M,REMOTE TABLE M,1,40.0,Other / Uncategorized,Unclassified,none
RETURN,RETURN,1,300.0,Other / Uncategorized,Unclassified,none
REUSABLE BOXES 70 250 MIN,REUSABLE BOXES 70 250 MIN,1,158.29,Other / Uncategorized,Unclassified,none
STC 22 BXS 70 391 MIN,STC 22 BXS 70 391 MIN,1,173.02,Other / Uncategorized,Unclassified,none
STC 22BX 70 428 40.81,STC 22BX 70 428 40.81,1,174.67,Other / Uncategorized,Unclassified,none
STC 29BX 70 926 29.65,STC 29BX 70 926 29.65,1,274.56,Other / Uncategorized,Unclassified,none
STEEL NOI 50 470 MIN,STEEL NOI 50 470 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 60 80 MIN,VALVES 60 80 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 100 MIN,VALVES 70 100 MIN,1,158.29,Other / Uncategorized,Unclassified,none
VALVES 70 124 MIN,VALVES 70 124 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 161 MIN,VALVES 70 161 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 260 MIN,VALVES 70 260 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 285 MIN,VALVES 70 285 MIN,1,118.25,Other / Uncategorized,Unclassified,none
VALVES 70 350 75.96,VALVES 70 350 75.96,1,265.86,Other / Uncategorized,Unclassified,none
VALVES 70 540 56.83,VALVES 70 540 56.83,1,306.88,Other / Uncategorized,Unclassified,none
VALVES 70 614 46.16,VALVES 70 614 46.16,1,283.42,Other / Uncategorized,Unclassified,none
VrachtkostenÂ ,VrachtkostenÂ ,1,465.0,Other / Uncategorized,Unclassified,none
W&I FEE,W&I FEE,1,13.5,Other / Uncategorized,Unclassified,none
WARREN CONTROLS CORP PRODUCT 60 125 MIN,WARREN CONTROLS CORP PRODUCT 60 125 MIN,1,142.94,Other / Uncategorized,Unclassified,none
WARREN CONTROLS PRODUCT 70 195 MIN,WARREN CONTROLS PRODUCT 70 195 MIN,1,173.02,Other / Uncategorized,Unclassified,none
WOODEN CRATES 70 500 MIN,WOODEN CRATES 70 500 MIN,1,158.29,Other / Uncategorized,Unclassified,none
X 40.0 X 57.0 275 87606,X 40.0 X 57.0 275 87606,1,2409.17,Other / Uncategorized,Unclassified,none
YARD PULL,YARD PULL,1,150.0,Other / Uncategorized,Unclassified,none
| SS E,| SS E,1,19.5,Other / Uncategorized,Unclassified,none
VALVE 60 50 MIN,VALVE 60 50 MIN,1,118.25,Other / Uncategorized,Unclassified,none
UNKNOWN PRODUCT NO DESCRIPTION GIVEN 150 190 MIN -,UNKNOWN PRODUCT NO DESCRIPTION GIVEN 150 190 MIN -,1,158.29,Other / Uncategorized,Unclassified,none
Tolgelden ,Tolgelden ,1,1.33,Other / Uncategorized,Unclassified,none
Standard-Large Slick Mailer,Standard-Large Slick Mailer,1,3.49,Other / Uncategorized,Unclassified,none
STEEL RODS 50 625 28.78,STEEL RODS 50 625 28.78,1,179.88,Other / Uncategorized,Unclassified,none
STEEL RODS 50 632 28.78,STEEL RODS 50 632 28.78,1,181.89,Other / Uncategorized,Unclassified,none
Special Services,Special Services,1,1.16,Other / Uncategorized,Unclassified,none
Standard- Golf Bag Box,Standard- Golf Bag Box,1,26.99,Other / Uncategorized,Unclassified,none
Standard- Heavy Materials,Standard- Heavy Materials,1,13.99,Other / Uncategorized,Unclassified,none
"Standard- Large, 24x24x24","Standard- Large, 24x24x24",1,21.99,Other / Uncategorized,Unclassified,none
"Standard- Small, 8x8x8","Standard- Small, 8x8x8",1,5.49,Other / Uncategorized,Unclassified,none
T/C 7,T/C 7,1,23.05,Other / Uncategorized,Unclassified,none
Tariff Update,Tariff Update,1,10.22,Other / Uncategorized,Unclassified,none
TELEX RELEASE FEE,TELEX RELEASE FEE,1,25.0,Other / Uncategorized,Unclassified,none
THC,THC,1,81.18,Other / Uncategorized,Unclassified,none
THOMPSON INVESTMENT CASTING PRODUCT 60 115 MIN,THOMPSON INVESTMENT CASTING PRODUCT 60 115 MIN,1,118.25,Other / Uncategorized,Unclassified,none
THOMPSON INVESTMENT CASTING PRODUCT 60 127 MIN,THOMPSON INVESTMENT CASTING PRODUCT 60 127 MIN,1,118.25,Other / Uncategorized,Unclassified,none
TICA FEE,TICA FEE,1,40.0,Other / Uncategorized,Unclassified,none
TOL NEDERLAND,TOL NEDERLAND,1,0.44,Other / Uncategorized,Unclassified,none
TONU,TONU,1,97.0,Other / Uncategorized,Unclassified,none
PRINTED LABELS 55 951 17.56,PRINTED LABELS 55 951 17.56,1,167.0,Other / Uncategorized,Unclassified,none
PRINTED LABELS 55 840 17.56,PRINTED LABELS 55 840 17.56,1,147.5,Other / Uncategorized,Unclassified,none
PRINTED LABELS 55 685 23.23,PRINTED LABELS 55 685 23.23,1,159.13,Other / Uncategorized,Unclassified,none
NMFC 156830-08 Film or Sheeting; 55 394 6.85,NMFC 156830-08 Film or Sheeting; 55 394 6.85,1,26.99,Other / Uncategorized,Unclassified,none
NMFC 133300-03 OR * 125 103 MIN MACHINERY; NOI;,NMFC 133300-03 OR * 125 103 MIN MACHINERY; NOI;,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 133300-03 OR * 125 1045 38.56 MACHINERY; NOI;,NMFC 133300-03 OR * 125 1045 38.56 MACHINERY; NOI;,1,402.95,Other / Uncategorized,Unclassified,none
"NMFC 133300-03 OR * 125 126 MIN MACHINERY, NOI,","NMFC 133300-03 OR * 125 126 MIN MACHINERY, NOI,",1,158.29,Other / Uncategorized,Unclassified,none
NMFC 133300-03 OR * 125 190 MIN MACHINERY; NOI;,NMFC 133300-03 OR * 125 190 MIN MACHINERY; NOI;,1,158.29,Other / Uncategorized,Unclassified,none
NMFC 133300-03 OR * 125 250 MIN MACHINERY; NOI;,NMFC 133300-03 OR * 125 250 MIN MACHINERY; NOI;,1,158.29,Other / Uncategorized,Unclassified,none
"NMFC 133300-03 OR * 125 390 70.14 MACHINERY, NOI,","NMFC 133300-03 OR * 125 390 70.14 MACHINERY, NOI,",1,273.55,Other / Uncategorized,Unclassified,none
NMFC 133300-03 OR * 125 85 MIN MACHINERY; NOI;,NMFC 133300-03 OR * 125 85 MIN MACHINERY; NOI;,1,254.09,Other / Uncategorized,Unclassified,none
NMFC 133300-04 85 592 31.83,NMFC 133300-04 85 592 31.83,1,188.43,Other / Uncategorized,Unclassified,none
NMFC 133300-04 OR * 85 105 MIN,NMFC 133300-04 OR * 85 105 MIN,1,173.02,Other / Uncategorized,Unclassified,none
NMFC 133300-04 OR * 85 2998 31.91 MACHINERY; NOI;,NMFC 133300-04 OR * 85 2998 31.91 MACHINERY; NOI;,1,956.66,Other / Uncategorized,Unclassified,none
